Number of nodes 662 
   129 :  1.2279551e-01  9.9351945e-01 
   130 :  7.4257935e-02  1.0042034e+00 
   131 :  2.4849757e-02  1.0095768e+00 
   132 : -2.4849761e-02  1.0095768e+00 
   133 : -7.4257938e-02  1.0042034e+00 
   134 : -1.2279551e-01  9.9351945e-01 
   135 : -1.6989341e-01  9.7765031e-01 
   136 : -2.1499948e-01  9.5678203e-01 
   137 : -2.5758486e-01  9.3115925e-01 
   138 : -2.9715031e-01  9.0108238e-01 
   139 : -3.3323193e-01  8.6690405e-01 
   140 : -3.6540672e-01  8.2902496e-01 
   141 : -3.9329744e-01  7.8788922e-01 
   142 : -4.1657712e-01  7.4397910e-01 
   143 : -4.3497281e-01  6.9780940e-01 
   144 : -4.4826884e-01  6.4992143e-01 
   145 : -4.5630932e-01  6.0087663e-01 
   146 : -2.2950000e-01  5.0331522e-01 
   147 : -2.2950000e-01  4.5538043e-01 
   148 : -2.2950000e-01  4.0744565e-01 
   149 : -2.2950000e-01  3.5951087e-01 
   150 : -2.2950000e-01  3.1157609e-01 
   151 : -2.2950000e-01  2.6364130e-01 
   152 : -2.2950000e-01  2.1570652e-01 
   153 : -2.2950000e-01  1.6777174e-01 
   154 : -2.2950000e-01  1.1983696e-01 
   155 : -2.2950000e-01  7.1902174e-02 
   156 : -2.2950000e-01  2.3967391e-02 
   157 : -2.2950000e-01 -2.3967391e-02 
   158 : -2.2950000e-01 -7.1902174e-02 
   159 : -2.2950000e-01 -1.1983696e-01 
   160 : -2.2950000e-01 -1.6777174e-01 
   161 : -2.2950000e-01 -2.1570652e-01 
   162 : -2.2950000e-01 -2.6364130e-01 
   163 : -2.2950000e-01 -3.1157609e-01 
   164 : -2.2950000e-01 -3.5951087e-01 
   165 : -2.2950000e-01 -4.0744565e-01 
   166 : -2.2950000e-01 -4.5538043e-01 
   167 : -2.2950000e-01 -5.0331522e-01 
   168 :  2.2950000e-01 -5.0331522e-01 
   169 :  2.2950000e-01 -4.5538043e-01 
   170 :  2.2950000e-01 -4.0744565e-01 
   171 :  2.2950000e-01 -3.5951087e-01 
   172 :  2.2950000e-01 -3.1157609e-01 
   173 :  2.2950000e-01 -2.6364130e-01 
   174 :  2.2950000e-01 -2.1570652e-01 
   175 :  2.2950000e-01 -1.6777174e-01 
   176 :  2.2950000e-01 -1.1983696e-01 
   177 :  2.2950000e-01 -7.1902174e-02 
   178 :  2.2950000e-01 -2.3967391e-02 
   179 :  2.2950000e-01  2.3967391e-02 
   180 :  2.2950000e-01  7.1902174e-02 
   181 :  2.2950000e-01  1.1983696e-01 
   182 :  2.2950000e-01  1.6777174e-01 
   183 :  2.2950000e-01  2.1570652e-01 
   184 :  2.2950000e-01  2.6364130e-01 
   185 :  2.2950000e-01  3.1157609e-01 
   186 :  2.2950000e-01  3.5951087e-01 
   187 :  2.2950000e-01  4.0744565e-01 
   188 :  2.2950000e-01  4.5538043e-01 
   189 :  2.2950000e-01  5.0331522e-01 
   190 : -2.2448487e-01 -5.9896573e-01 
   191 : -2.0965868e-01 -6.4459606e-01 
   192 : -1.8566940e-01 -6.8614672e-01 
   193 : -1.5356547e-01 -7.2180174e-01 
   194 : -1.1475000e-01 -7.5000283e-01 
   195 : -7.0919400e-02 -7.6951747e-01 
   196 : -2.3989281e-02 -7.7949278e-01 
   197 :  2.3989283e-02 -7.7949277e-01 
   198 :  7.0919401e-02 -7.6951747e-01 
   199 :  1.1475000e-01 -7.5000283e-01 
   200 :  1.5356547e-01 -7.2180174e-01 
   201 :  1.8566940e-01 -6.8614672e-01 
   202 :  2.0965868e-01 -6.4459606e-01 
   203 :  2.2448487e-01 -5.9896573e-01 
   204 :  2.2448487e-01  5.9896573e-01 
   205 :  2.0965868e-01  6.4459606e-01 
   206 :  1.8566940e-01  6.8614672e-01 
   207 :  1.5356547e-01  7.2180174e-01 
   208 :  1.1475000e-01  7.5000283e-01 
   209 :  7.0919400e-02  7.6951747e-01 
   210 :  2.3989281e-02  7.7949278e-01 
   211 : -2.3989283e-02  7.7949277e-01 
   212 : -7.0919401e-02  7.6951747e-01 
   213 : -1.1475000e-01  7.5000283e-01 
   214 : -1.5356547e-01  7.2180174e-01 
   215 : -1.8566940e-01  6.8614672e-01 
   216 : -2.0965868e-01  6.4459606e-01 
   217 : -2.2448487e-01  5.9896573e-01 
   218 : -2.7101274e-01  2.8760870e-01 
   219 :  4.1748724e-01 -2.8760869e-01 
   220 : -4.1748726e-01  9.5869565e-02 
   221 :  4.1748726e-01 -9.5869565e-02 
   222 : -4.1851697e-01  1.9142052e-01 
   223 :  2.7101274e-01 -1.9173913e-01 
   224 : -2.7101274e-01  3.8347826e-01 
   225 :  2.6980872e-01 -3.8348650e-01 
   226 :  4.1667166e-01 -5.3045404e-01 
   227 : -2.6948290e-01  5.2463285e-01 
   228 :  2.6684669e-01  8.7427483e-04 
   229 : -4.1748726e-01  1.2189172e-12 
   230 : -4.1748726e-01 -1.4380435e-01 
   231 :  2.6998303e-01  1.4412296e-01 
   232 :  2.7275721e-01  4.7855774e-01 
   233 : -4.2330280e-01 -4.7307851e-01 
   234 : -4.1748726e-01 -2.8760870e-01 
   235 :  4.1748726e-01  2.8760870e-01 
   236 : -2.6936684e-01 -3.8349540e-01 
   237 :  4.1662475e-01  3.8972825e-01 
   238 :  3.1320961e-04 -8.2026903e-01 
   239 : -6.6680398e-03  8.2322204e-01 
   240 :  1.1671311e-01 -7.9699634e-01 
   241 : -1.1055521e-01  7.9283858e-01 
   242 : -1.0973487e-01 -7.9771856e-01 
   243 :  1.0828712e-01  7.9561038e-01 
   244 :  2.0004562e-01 -7.3454832e-01 
   245 : -2.0110209e-01  7.2862823e-01 
   246 : -1.9635856e-01 -7.4085893e-01 
   247 :  1.9635856e-01  7.4085893e-01 
   248 : -2.6862843e-01 -5.8249162e-01 
   249 :  2.6863715e-01  5.8248772e-01 
   250 :  2.5675085e-01 -6.3355539e-01 
   251 : -2.5628752e-01  6.3764126e-01 
   252 :  3.8524571e-01  7.0614563e-01 
   253 : -3.8534144e-01 -7.0663441e-01 
   254 :  9.1052287e-02 -9.6669081e-01 
   255 : -8.8769974e-02  9.5562159e-01 
   256 : -9.2134523e-02 -9.5329371e-01 
   257 :  9.0649845e-02  9.5755100e-01 
   258 :  2.5181440e-01 -8.8333591e-01 
   259 : -2.5398406e-01  8.7931495e-01 
   260 : -2.4658201e-01 -8.7971605e-01 
   261 :  2.5303954e-01  8.8481001e-01 
   262 : -4.2165331e-01  3.3466920e-01 
   263 : -2.7101274e-01  1.4380435e-01 
   264 : -4.1748726e-01  4.3141304e-01 
   265 :  4.1885508e-01 -4.3141304e-01 
   266 :  2.7274723e-01 -4.7841748e-01 
   267 : -2.7101274e-01  4.7934783e-02 
   268 :  4.1748726e-01  4.7934783e-02 
   269 : -2.7101274e-01 -4.7934783e-02 
   270 : -2.7101274e-01 -1.9173913e-01 
   271 :  4.1748726e-01  1.9173913e-01 
   272 :  4.1190481e-01  5.2408200e-01 
   273 :  2.7101274e-01  2.3967391e-01 
   274 :  2.6996779e-01  3.3527054e-01 
   275 :  3.6691000e-01 -7.4577337e-01 
   276 : -3.6969682e-01  7.5354379e-01 
   277 :  4.1623069e-01 -6.1966626e-01 
   278 : -4.1056392e-01  6.1650254e-01 
   279 : -3.4058261e-01 -7.8365044e-01 
   280 :  3.4057961e-01  7.8366282e-01 
   281 :  2.7101274e-01 -2.8760870e-01 
   282 :  2.7101274e-01 -9.5869565e-02 
   283 :  4.1748726e-01 -1.9173913e-01 
   284 : -4.1748726e-01  5.2728261e-01 
   285 : -2.7274611e-01 -4.7840220e-01 
   286 : -2.7101274e-01 -2.8760870e-01 
   287 : -4.2216750e-01 -3.8202259e-01 
   288 : -4.1543977e-01 -5.7377449e-01 
   289 :  4.1413937e-01  6.1281942e-01 
   290 :  3.1719262e-01 -8.2534940e-01 
   291 : -3.2417352e-01  8.2124057e-01 
   292 :  1.7437398e-01 -9.2815318e-01 
   293 : -1.6969042e-01  9.3029024e-01 
   294 : -1.7115873e-01 -9.2712346e-01 
   295 :  1.7435456e-01  9.3223217e-01 
   296 : -4.4112161e-03 -9.6730033e-01 
   297 : -1.7841961e-09  9.6653579e-01 
   298 :  2.6879954e-01 -5.8352555e-01 
   299 :  3.0386158e-01 -6.1613867e-01 
   300 :  3.1861168e-01 -5.7146810e-01 
   301 :  2.9569343e-01 -6.6406050e-01 
   302 :  3.3947288e-01 -6.4882779e-01 
   303 :  2.5591209e-01  6.3199648e-01 
   304 :  3.0355104e-01  6.1577431e-01 
   305 :  3.1853455e-01  5.7123434e-01 
   306 :  2.9569595e-01  6.6406731e-01 
   307 :  3.3375409e-01  6.4873984e-01 
   308 : -2.5590481e-01 -6.3198271e-01 
   309 : -3.0353645e-01 -6.1577144e-01 
   310 : -3.1517452e-01 -5.7090229e-01 
   311 : -2.9566098e-01 -6.6398083e-01 
   312 : -3.4100183e-01 -6.4645711e-01 
   313 : -2.3116263e-01  6.8466105e-01 
   314 : -2.5138784e-01  7.3214527e-01 
   315 : -2.2184541e-01  7.7323662e-01 
   316 : -2.8211900e-01  6.7892024e-01 
   317 : -3.0551038e-01  6.3394629e-01 
   318 : -3.3088755e-01  6.7509053e-01 
   319 :  1.6556314e-01 -7.7102806e-01 
   320 :  1.5742570e-01 -8.2209881e-01 
   321 :  1.1744508e-01 -8.4754698e-01 
   322 :  2.1656922e-01 -7.7750329e-01 
   323 :  2.4733627e-01 -7.4522576e-01 
   324 :  7.5405680e-02 -8.2708125e-01 
   325 :  7.7514334e-02 -8.7441581e-01 
